Borrower ID,LoanType,Total Loan Amt,Mth1 paysts (May),Mth2 paysts (Apr),Mth3 paysts (Mar),Mth4 paysts (Feb),Mth5 paysts (Jan),Mth6 paysts (Dec 17),Mth7 paysts (Nov 17),Mth8 paysts (Oct 17),Mth9 paysts (Sep 17),Mth10 paysts (Aug 17),Mth11 paysts (Jul17),Mth12 paysts (Jun 17),obn,Loan Principal Amt,Loan Type,Is MECB member,Is MLCB member
1425,UNSECURED,1000.0,-,OK,-,-,-,-,-,-,-,-,-,-,MAIN BORROWER,"
     
     
     
     
     
     
     
  ",Personal - Pay Day,True,True
3841,UNSECURED,1000.0,-,OK,-,-,-,-,-,-,-,-,-,-,MAIN BORROWER,"
     
     
     
     
     
     
     
  ",Personal - Pay Day,True,True
1302,UNSECURED,799.03,CL,-,OK,OK,OK,OK,OK,-,-,-,-,-,MAIN BORROWER,800,Personal - Pay Day,False,False
3725,UNSECURED,799.03,OK,OK,OK,-,-,-,-,-,-,-,-,-,MAIN BORROWER,"
     
     
     
     
     
     
     
  ",Personal - Pay Day,False,False
3218,UNSECURED,520.0,-,CL,OK,-,-,-,-,-,-,-,-,-,MAIN BORROWER,600,Personal - Pay Day,True,False
3520,UNSECURED,305.5,-,-,CL,OK,OK,-,-,-,-,-,-,-,MAIN BORROWER,"
     
     
     
     
     
     
     
  ",Personal - Pay Day,True,True
1172,UNSECURED,634.64,-,OK,OK,OK,OK,OK,-,-,-,-,-,-,MAIN BORROWER,800,Personal - Pay Day,True,True
2616,UNSECURED,573.32,60,30,OK,OK,-,-,-,-,-,-,-,-,MAIN BORROWER,"
     
     
     
     
     
     
     
  ",Personal - Pay Day,False,
3024,UNSECURED,520.0,OK,-,-,-,-,-,-,-,-,-,-,-,MAIN BORROWER,500,Personal - Pay Day,True,False
1966,UNSECURED,763.08,-,-,CL,OK,OK,-,-,-,-,-,-,-,MAIN BORROWER,350,Personal - Pay Day,True,False
1633,SECURED,1300000.0,-,-,-,-,-,-,-,CL,OK,OK,-,-,MAIN BORROWER,900000,Business,False,False
1320,SECURED,102393.42,-,-,-,-,-,-,-,-,-,-,-,-,MAIN BORROWER,200000,Personal - Pay Day,False,False
2474,UNSECURED,312.0,-,-,-,-,-,-,CL,OK,-,-,-,-,MAIN BORROWER,300,Personal - Pay Day,True,False
1850,UNSECURED,305.5,-,CL,OK,OK,-,-,-,-,-,-,-,-,MAIN BORROWER,300,Personal - Pay Day,True,True
1752,UNSECURED,520.0,-,CL,OK,-,-,-,-,-,-,-,-,-,MAIN BORROWER,500,Personal - Pay Day,True,False
1111,UNSECURED,800.0,-,-,CL,OK,-,-,-,-,-,-,-,-,MAIN BORROWER,300,Personal - Pay Day,True,True
3185,UNSECURED,750.0,OK,OK,-,-,-,-,-,-,-,-,-,-,MAIN BORROWER,550,Personal - Pay Day,True,False
3450,UNSECURED,799.03,CL,OK,OK,-,-,-,-,-,-,-,-,-,MAIN BORROWER,400,Personal - Pay Day,False,False
1846,UNSECURED,520.0,-,CL,OK,-,-,-,-,-,-,-,-,-,MAIN BORROWER,500,Personal - Pay Day,True,False
179,UNSECURED,259.58,-,-,CL,OK,-,-,-,-,-,-,-,-,MAIN BORROWER,1000,Personal - Pay Day,True,True
2354,UNSECURED,325.41,-,-,-,-,CL,OK,-,-,-,-,-,-,MAIN BORROWER,1000,Personal - Pay Day,True,True
